NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
110,Surabaya (SUB) - Jayapura (DJJ),558.0,56776.0,89624.0,296176.0,,"63,3%"
111,Semarang (SRG) - Balikpapan (BPN),415.0,55982.0,86807.0,265400.0,453.0,"64,5%"
112,Kupang (KOE) - Bajawa (BJW),1194.0,54858.0,84070.0,86888.0,19320.0,"65,3%"
113,Surabaya (SUB) - Labuhan Bajo (LBJ),482.0,53809.0,78225.0,308568.0,4605.0,"68,8%"
114,Nabire (NBX) - Jayapura (DJJ),1106.0,53666.0,78800.0,333452.0,27710.0,"68,1%"
115,Jakarta (CGK) - Timika (TIM),534.0,53333.0,84932.0,828887.0,39389.0,"62,8%"
116,Tambolaka (TMC) - Kupang (KOE),928.0,52369.0,70752.0,330647.0,41868.0,"74,0%"
117,Surabaya (SUB) - Sampit (SMQ),1019.0,51960.0,73376.0,292088.0,33687.0,"70,8%"
118,Yogyakarta (YIA) - Banjarmasin (BDJ),387.0,51943.0,76850.0,150181.0,673.0,"67,6%"
119,Balikpapan (BPN) - Bandung (BDO),612.0,51362.0,99176.0,1017360.0,,"51,8%"
120,Maumere (MOF) - Kupang (KOE),849.0,50068.0,63720.0,278708.0,53155.0,"78,6%"
121,Tambolaka (TMC) - Denpasar (DPS),806.0,46504.0,62328.0,164481.0,30006.0,"74,6%"
122,Padang Pariaman (PDG) - Medan (KNO),586.0,45251.0,77517.0,26675.0,521.0,"58,4%"
123,Makassar (UPG) - Kolaka (KXB),990.0,43593.0,68128.0,35984.0,5184.0,"64,0%"
124,Kupang (KOE) - Alor (ARD),841.0,43579.0,60552.0,177590.0,26262.0,"72,0%"
125,Pontianak (PNK) - Batam (BTH),460.0,42679.0,79685.0,68398.0,693.0,"53,6%"
126,Surabaya (SUB) - Manado (MDC),300.0,42132.0,61510.0,354757.0,349.0,"68,5%"
127,Makassar (UPG) - Mamuju (MJU),911.0,42077.0,65748.0,80498.0,11994.0,"64,0%"
128,Makassar (UPG) - Tarakan (TRK),302.0,42014.0,63110.0,170463.0,,"66,6%"
129,Solo (SOC) - Jakarta-HLP (HLP),473.0,41813.0,74806.0,101719.0,77.0,"55,9%"
130,Jakarta (CGK) - Banyuwangi (BWX),535.0,40327.0,83578.0,153847.0,,"48,3%"
131,Jayapura (DJJ) - Yahukimo (DEX),740.0,39270.0,49984.0,193301.0,28095.0,"78,6%"
132,Surabaya (SUB) - Bandung (BDO),946.0,38594.0,65872.0,124949.0,8505.0,"58,6%"
133,Labuhan Bajo (LBJ) - Ende (ENE),668.0,37837.0,48096.0,29829.0,3515.0,"78,7%"
134,Surabaya (SUB) - Yogyakarta (JOG),778.0,37382.0,56016.0,11158.0,1095.0,"66,7%"
135,Tarakan (TRK) - Surabaya (SUB),226.0,36103.0,46302.0,385497.0,395.0,"78,0%"
136,Makassar (UPG) - Morowali (MOH),607.0,36052.0,43704.0,39996.0,3123.0,"82,5%"
