Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240229235958pdf_1-31 Maret 2024.pdf,26,SAM RATULANGI,MANADO,MDC,93.10,"16,060.59","16,103.88"
20240229235958pdf_1-31 Maret 2024.pdf,27,POLONIA,MEDAN,MES,91.10,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,28,MOPAH,MERAUKE,MKQ,93.40,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,29,RENDANI,MANOKWARI,MKW,93.40,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,30,KERTAJATI,MAJALENGKA,KJT,86.60,"14,914.20","14,954.40"
20240229235958pdf_1-31 Maret 2024.pdf,31,ABDURACHMAN SALEH,MALANG,MLG,91.30,"15,737.82","15,780.24"
20240229235958pdf_1-31 Maret 2024.pdf,32,WAI OTI,MAUMERE,MOF,91.20,"15,726.69","15,769.08"
20240229235958pdf_1-31 Maret 2024.pdf,33,PANIAI,NABIRE,NBX,93.40,"16,249.80","16,293.60"
20240229235958pdf_1-31 Maret 2024.pdf,34,RANAI,NATUNA,NTX,91.10,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,35,PONDOK CABE,JAKARTA,PCB,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,36,MINANGKABAU,PADANG,PDG,91.10,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,37,DEPATI AMIR,PANGKAL PINANG,PGK,91.00,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,38,ISKANDAR,PANGKALAN BUN,PKN,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,91.10,"15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,40,TJILIK RIWUT,PALANGKARAYA,PKY,91.70,"15,804.60","15,847.20"
