NO,RUTE ( PP),Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
131,Jayapura (DJJ) - Yahukimo (DEX),3626.0,3553.0,4436.0,3784.0,1733.0,3287.0,2949.0,,2699.0,2632.0,4136.0,6435.0,39270.0,35482.0,82425.0
132,Surabaya (SUB) - Bandung (BDO),2280.0,2896.0,3993.0,3972.0,3257.0,4236.0,378.0,,1881.0,6114.0,4855.0,4732.0,38594.0,59426.0,329142.0
133,Labuhan Bajo (LBJ) - Ende (ENE),3000.0,2539.0,3406.0,3403.0,2594.0,3917.0,1844.0,2345.0,3338.0,3782.0,3749.0,3920.0,37837.0,39267.0,69516.0
134,Surabaya (SUB) - Yogyakarta (JOG),2083.0,1659.0,2779.0,2425.0,2064.0,3612.0,415.0,,1779.0,4709.0,8939.0,6918.0,37382.0,57106.0,153274.0
135,Tarakan (TRK) - Surabaya (SUB),904.0,1987.0,2724.0,3718.0,3085.0,5282.0,,,91.0,,7091.0,11221.0,36103.0,25587.0,107973.0
136,Makassar (UPG) - Morowali (MOH),2773.0,2530.0,3860.0,4030.0,2646.0,4031.0,728.0,518.0,2910.0,3672.0,4431.0,3923.0,36052.0,23520.0,40626.0
137,NATUNA (NTX) - Batam (BTH),1851.0,2528.0,3343.0,3311.0,2045.0,3411.0,1374.0,1215.0,3294.0,3907.0,4192.0,4497.0,34968.0,32833.0,65723.0
138,"Sumbawa Besar (SWQ) - Praya, Lombok (LOP)",3119.0,2497.0,3307.0,3565.0,3420.0,4881.0,513.0,,1293.0,3028.0,3700.0,3900.0,33223.0,48078.0,104219.0
139,Makassar (UPG) - Jakarta-HLP (HLP),,,2118.0,3590.0,5621.0,7075.0,333.0,798.0,1204.0,4810.0,2900.0,4598.0,33047.0,16307.0,89495.0
140,Ternate (TTE) - Jakarta-HLP (HLP),,292.0,4902.0,5747.0,3839.0,4248.0,1242.0,1265.0,2077.0,3818.0,3528.0,1823.0,32781.0,,
141,Larantuka (LKA) - Kupang (KOE),2846.0,1702.0,2864.0,3548.0,2652.0,3767.0,558.0,2046.0,3130.0,3483.0,2939.0,3200.0,32735.0,49082.0,73784.0
142,Denpasar (DPS) - Bima (BMU),1863.0,1572.0,3434.0,4108.0,4252.0,5896.0,542.0,,502.0,2783.0,4356.0,3228.0,32536.0,48422.0,95350.0
143,Saumlaki (SXK) - Ambon (AMQ),2173.0,1759.0,3109.0,2881.0,2096.0,3691.0,1572.0,1433.0,2693.0,3532.0,3631.0,3743.0,32313.0,24035.0,59062.0
144,Sorong (SOQ) - Ambon (AMQ),4087.0,2418.0,2979.0,3217.0,2413.0,3347.0,1614.0,897.0,1848.0,2573.0,2705.0,3321.0,31419.0,18780.0,60634.0
145,Yogyakarta (YIA) - Medan (KNO),4272.0,2986.0,2905.0,3925.0,4496.0,6805.0,615.0,,,,,4025.0,30029.0,16560.0,12854.0
146,Timika (TIM) - Nabire (NBX),2848.0,2435.0,2382.0,3043.0,2292.0,3719.0,1286.0,1054.0,2464.0,2465.0,2977.0,2879.0,29844.0,21206.0,37820.0
147,Manokwari (MKW) - Jayapura (DJJ),3373.0,2344.0,2499.0,2439.0,1867.0,2724.0,1430.0,717.0,1921.0,3076.0,3171.0,3950.0,29511.0,29098.0,51239.0
148,Makassar (UPG) - Maumere (MOF),2441.0,1932.0,1769.0,2580.0,1905.0,3374.0,1087.0,2484.0,2385.0,3014.0,3227.0,3101.0,29299.0,25412.0,45311.0
149,Denpasar (DPS) - Balikpapan (BPN),2666.0,1696.0,1269.0,2150.0,1961.0,3898.0,742.0,123.0,673.0,134.0,2457.0,9094.0,26863.0,17206.0,93394.0
150,Makassar (UPG) - Samarinda (AAP),4540.0,1433.0,4463.0,3911.0,4630.0,6830.0,962.0,,,,,,26769.0,45498.0,52676.0
151,Makassar (UPG) - Semarang (SRG),3359.0,2623.0,3120.0,3355.0,2832.0,3247.0,1256.0,1030.0,820.0,922.0,822.0,2867.0,26253.0,35637.0,80451.0
152,Kotabaru (KBU) - Banjarmasin (BDJ),2145.0,2061.0,2887.0,3544.0,2433.0,3564.0,399.0,,59.0,1631.0,3412.0,3890.0,26025.0,27650.0,75735.0
153,Nabire (NBX) - Manokwari (MKW),4071.0,3788.0,4233.0,3233.0,1887.0,2710.0,548.0,,,1932.0,1122.0,2363.0,25887.0,9173.0,110.0
154,Jakarta-HLP (HLP) - Bengkulu (BKS),,,4943.0,5414.0,4475.0,7595.0,878.0,,,,,2062.0,25367.0,20093.0,89999.0
155,Waingapu (WGP) - Denpasar (DPS),1826.0,1135.0,2601.0,2402.0,2242.0,3828.0,274.0,145.0,1248.0,3112.0,2841.0,3381.0,25035.0,33886.0,71661.0
156,Yogyakarta (YIA) - Denpasar (DPS),2988.0,897.0,1684.0,2402.0,3024.0,5556.0,135.0,,729.0,1965.0,2286.0,3101.0,24767.0,28863.0,2295.0
157,Sorong (SOQ) - Fak-fak (FKQ),2264.0,1898.0,2196.0,2374.0,1424.0,3013.0,263.0,368.0,1095.0,2160.0,3849.0,3647.0,24551.0,16721.0,40624.0
158,Surabaya (SUB) - Ambon (AMQ),,,3921.0,6076.0,5891.0,7161.0,602.0,,,,,,23651.0,23092.0,85865.0
159,Pekanbaru (PKU) - Bandung (BDO),3468.0,3664.0,3242.0,3567.0,3338.0,4676.0,1031.0,,186.0,,,,23172.0,18938.0,84392.0
160,Rote (RTI) - Kupang (KOE),1871.0,1201.0,1922.0,2364.0,2195.0,3518.0,701.0,46.0,1818.0,2303.0,2460.0,2732.0,23131.0,28043.0,51065.0
161,Yogyakarta (YIA) - Palangkaraya (PKY),3909.0,2925.0,2941.0,3444.0,2927.0,5985.0,,,,,,,22131.0,34584.0,41884.0
162,Surabaya (SUB) - Tanjung Redeb (BEJ),753.0,1924.0,2302.0,3249.0,4117.0,7942.0,781.0,,250.0,,,,21318.0,,
163,Yogyakarta (YIA) - Samarinda (AAP),,,2789.0,5009.0,5238.0,7416.0,834.0,,,,,,21286.0,11254.0,28987.0
164,Sorong (SOQ) - Kaimana (KNG),1653.0,1609.0,1917.0,1879.0,1182.0,2408.0,253.0,650.0,1694.0,2122.0,3045.0,2785.0,21197.0,15887.0,28253.0
165,Semarang (SRG) - Denpasar (DPS),1746.0,1482.0,1561.0,2397.0,1975.0,3123.0,177.0,,748.0,1890.0,2477.0,3370.0,20946.0,39937.0,124559.0
166,Makassar (UPG) - Kotabaru (KBU),932.0,1392.0,2361.0,2468.0,2108.0,2179.0,341.0,,115.0,2042.0,3474.0,3400.0,20812.0,12356.0,18670.0
167,Ruteng (RTG) - Kupang (KOE),907.0,,214.0,1158.0,984.0,2639.0,1508.0,2003.0,2705.0,3205.0,2763.0,2680.0,20766.0,10087.0,24866.0
168,Labuhan Bajo (LBJ) - Bajawa (BJW),1894.0,750.0,1812.0,2282.0,2036.0,3235.0,987.0,2000.0,2478.0,2728.0,464.0,,20666.0,24944.0,36693.0
169,Namlea (NAM) - Ambon (AMQ),1863.0,1531.0,1833.0,1596.0,1364.0,2077.0,411.0,665.0,1729.0,1800.0,2184.0,3417.0,20470.0,25258.0,35273.0
170,Wangi-Wangi (WNI) - Kendari (KDI),1488.0,1124.0,1770.0,1510.0,1666.0,2661.0,427.0,185.0,1285.0,1828.0,2677.0,2943.0,19564.0,25073.0,41161.0
171,Jakarta-HLP (HLP) - Samarinda (AAP),,,4844.0,5767.0,4454.0,4409.0,,,,,,,19474.0,18922.0,54885.0
172,Jakarta (CGK) - Pangkalan Bun (PKN),1223.0,,,,236.0,3679.0,555.0,1159.0,1978.0,2663.0,3411.0,4042.0,18946.0,47568.0,151649.0
