waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2020,232,DOMESTIK,795,797,1592,60851,59558,120409,0,177644,249.78,427424,158201,323578,481779,0,0,0
2021,232,DOMESTIK,110,112,222,25,25,50,0,100,100,200,25154,126804,151958,0,14797,14797
2022,232,DOMESTIK,593,593,1186,417,109,526,0,3441,262,3703,552337,5707023,6259360,1783,15.33,17113
2023,232,DOMESTIK,531,525,1056,47666,45789,93455,5265,400.41,415857,816267,28373,432994,461367,0,0,0
2024,232,DOMESTIK,1.45,1.45,2.9,169377,168168,337545,25226,1459123,1453833,2912956,271933,2348701,2620634,0,25,25
2020,232,INTERNASIONAL,5,4,9,331,340,671,0,8695,4266,12961,0,0,0,0,0,0
2021,232,INTERNASIONAL,5,4,9,2,0,2,0,0,0,0,0,0,0,0,0,0
2022,232,INTERNASIONAL,5,5,10,0,599,599,0,0,9701,9701,0,14.63,14.63,0,0,0
2023,232,INTERNASIONAL,125,129,254,17546,18973,36519,87,270084,242022,512106,63263,35646,98909,0,0,0
2024,232,INTERNASIONAL,249,247,496,34737,34783,69.52,0,577341,456507,1033848,5307,372,5679,0,0,0
2020,326,DOMESTIK,91039,88.46,179499,8623949,7653349,16277298,208894,46435439,50573980,97009419,85404370,154569216,239973586,123222,80869,204091
2021,326,DOMESTIK,84592,81932,166524,8004225,7480440,15484665,1815976,65306561,65238057,130544618,118434044,178875360,297309404,7.77,0,7.77
2022,326,DOMESTIK,129853,127545,257398,16587279,15095976,31683255,819652,131385196,133070510,264455706,113101608,252154013,365255621,395,0,395
2023,326,DOMESTIK,133226,133107,266333,18852431,16548771,35401202,338165,144210338,147581024,291791362,100199541,200936111,301135652,906,1675,2581
