bandara_id,kode_iata,nama_bandara,kota,provinsi,negara
227,LUV,KAREL SADSUITUBUN,LANGGUR,MALUKU,INDONESIA
228,,KARUBAGA,,PAPUA PEGUNUNGAN,INDONESIA
229,PSJ,KASIGUNCU,POSO,SULAWESI TENGAH,INDONESIA
230,,KEBAR,,PAPUA BARAT,INDONESIA
231,,KEPI,,PAPUA SELATAN,INDONESIA
232,KJT,KERTAJATI,MAJALENGKA,JAWA BARAT,INDONESIA
233,,KHUSUS LNG BADAK,BONTANG,KALIMANTAN TIMUR,INDONESIA
234,,KHUSUS TANJUNG BARA PT. KALTIM PRIMA COAL,KUTAI TIMUR,KALIMANTAN TIMUR,INDONESIA
235,,KIMAAM,,PAPUA SELATAN,INDONESIA
236,,KIWIROK,,PAPUA PEGUNUNGAN,INDONESIA
237,,KOKONAO,,PAPUA TENGAH,INDONESIA
238,,KOMODO,LABUAN BAJO,NUSA TENGGARA TIMUR,INDONESIA
239,,KOROWAY BATU,,PAPUA SELATAN,INDONESIA
240,KAZ,KUABANG,KAO,MALUKU UTARA,INDONESIA
241,,KUALA BATU,BLANG PIDIE,DAERAH ISTIMEWA ACEH,INDONESIA
242,,KUALA KURUN,KUALA KURUN,KALIMANTAN TENGAH,INDONESIA
243,,KUALA PEMBUANG,KOTA WARINGIN TIMUR,KALIMANTAN TENGAH,INDONESIA
244,KNO,KUALANAMU,MEDAN,SUMATERA UTARA,INDONESIA
245,,KUFAR,,MALUKU,INDONESIA
246,SNB,LASIKIN,SINABANG,DAERAH ISTIMEWA ACEH,INDONESIA
247,,LASONDRE,PULAU-PULAU BATU,SUMATERA UTARA,INDONESIA
248,,LEDE KALUMBANG,WAIKABUBAK,NUSA TENGGARA TIMUR,INDONESIA
249,,LIWUR BUNGA,LARAT,MALUKU,INDONESIA
250,,LONG APUNG,LONG APUNG,KALIMANTAN UTARA,INDONESIA
251,,MAIMUN SALEH,SABANG,DAERAH ISTIMEWA ACEH,INDONESIA
252,ARD,MALI,ALOR,NUSA TENGGARA TIMUR,INDONESIA
253,,MALIKUSSALEH,LHOK SEUMAWE,DAERAH ISTIMEWA ACEH,INDONESIA
254,,MANGGELUM,,PAPUA SELATAN,INDONESIA
255,,MARARENA,SARMI,PAPUA,INDONESIA
256,,MARATUA,BERAU,KALIMANTAN TIMUR,INDONESIA
257,,MARIMOI,KOBOK,MALUKU UTARA,INDONESIA
258,,MARINDA/WAISAI,,PAPUA BARAT DAYA,INDONESIA
259,SXK,MATHILDA BATLAYERI,SAUMLAKI,MALUKU,INDONESIA
260,,MELAK,SENDAWAR,KALIMANTAN TIMUR,INDONESIA
261,,MELONGGUANE,SANGIHE TALAUD,SULAWESI UTARA,INDONESIA
262,,MERDEY,,PAPUA BARAT,INDONESIA
263,,MIANGAS,,SULAWESI UTARA,INDONESIA
264,PDG,MINANGKABAU,PADANG,SUMATERA BARAT,INDONESIA
265,,MINDIPTANAH,,PAPUA SELATAN,INDONESIA
266,,MOANAMANI,,PAPUA TENGAH,INDONESIA
267,EWE,MOPAH,MERAUKE,PAPUA SELATAN,INDONESIA
268,,MOROWALI,,SULAWESI TENGAH,INDONESIA
269,TIM,MOZES KILANGIN,TIMIKA,PAPUA TENGAH,INDONESIA
270,,MUARA WAHAU,,KALIMANTAN TIMUR,INDONESIA
271,,MUARO BUNGO,,JAMBI,INDONESIA
272,,MUHAMMAD TAUFIQ KIEMAS,,LAMPUNG,INDONESIA
273,,MUKO-MUKO,,BENGKULU,INDONESIA
274,,MULIA,,PAPUA TENGAH,INDONESIA
275,PLW,MUTIARA,PALU,SULAWESI TENGAH,INDONESIA
276,,NABIRE,,PAPUA TENGAH,INDONESIA
277,NAH,NAHA,TAHUNA,SULAWESI UTARA,INDONESIA
