waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,471,398,12356,28656,23158.0,0.0,43.12
2020,472,278,22193,36864,694.0,0.0,60.2
2020,473,190,19325,39992,74771.0,100.0,48.32
2020,474,3774,488258,702544,3641653.0,108836.0,69.5
2020,475,611,25073,43992,33484.0,0.0,56.99
2020,476,312,1520,3744,6025.0,11.0,40.6
2020,477,132,11120,28328,72116.0,0.0,39.25
2020,480,149,7481,28161,55462.0,0.0,26.57
2020,484,290,26046,53550,92085.0,652.0,48.64
2020,485,60,2586,11340,27384.0,0.0,22.8
2020,486,53,2362,3816,2793.0,0.0,61.9
2020,487,313,15887,22536,75867.0,0.0,70.5
2020,488,1368,153852,244540,509707.0,436.0,62.91
2020,490,22,4069,8646,32938.0,699.0,47.06
2020,492,396,18229,28484,25846.0,0.0,64.0
2020,494,33,9776,14850,0.0,0.0,65.83
2020,495,240,10011,17280,2179.0,0.0,57.93
2020,496,544,68074,114371,109091.0,7815.0,59.52
2020,497,1055,115762,195045,621380.0,280.0,59.35
2020,498,1142,138355,227016,183362.0,445.0,60.95
2020,499,539,45893,78511,131552.0,12075.0,58.45
2020,500,646,56322,108828,975027.0,0.0,51.75
2020,501,344,12709,24768,45315.0,0.0,51.31
2020,506,182,5945,13104,40.0,0.0,45.37
2020,507,199,16560,37677,156141.0,0.0,43.95
2020,508,335,11678,26506,25331.0,0.0,44.06
2020,509,992,49082,70386,206735.0,0.0,69.73
2020,510,234,7684,10998,72193.0,0.0,69.87
2020,511,1216,68122,98855,395832.0,0.0,68.91
2020,512,355,10087,18520,109820.0,0.0,54.47
2020,513,652,28043,46944,23360.0,0.0,59.74
2020,514,167,515,2004,1160.0,0.0,25.7
2020,515,2583,292954,482962,4137238.0,115928.0,60.66
2020,516,1220,65624,98880,417730.0,0.0,66.37
2020,517,311,14833,31392,33636.0,818.0,47.25
2020,518,1393,60248,106778,347598.0,0.0,56.42
2020,519,582,23744,41724,3224.0,0.0,56.91
2020,521,2562,119265,184282,104377.0,0.0,64.72
2020,522,405,16880,29106,23903.0,0.0,57.99
2020,524,325,38136,58500,442.0,0.0,65.19
2020,526,470,53952,84600,90756.0,0.0,63.77
2020,527,420,46980,75240,93490.0,0.0,62.44
2020,528,222,24362,39960,2880.0,0.0,60.97
2020,529,156,17101,28080,2469.0,0.0,60.9
2020,530,34,5446,7218,0.0,0.0,75.45
2020,531,176,21225,31680,0.0,0.0,67.0
2020,532,1494,146705,263260,829761.0,0.0,55.73
2020,533,90,8009,16200,0.0,0.0,49.44
2020,535,156,20784,28080,164653.0,0.0,74.02
2020,536,14,772,2520,655.0,0.0,30.63
2020,537,60,2065,4320,0.0,0.0,47.8
2020,539,379,15265,27288,4929.0,0.0,55.94
2020,540,201,6547,14472,520.0,0.0,45.24
2020,541,195,5323,14040,2834.0,0.0,37.91
